Figura,Tempi,Stile,Presa,Video,Lezione,Password
Extra spin,2,aperta,standard,extraspin,boogie int,mostratutte-mostrabi
Switch ,2,aperta,standard,switch,lindy beg,
Freeze,2,caramelle,standard,,lindy beg,
Twist ,4,aperta,doppia,twist,boogie int,mostratutte-mostrabi
Cambio lei ,6,aperta,standard,cambio,lindy beg,
Cambio lui,6,aperta,standard,cambio_lui,lindy beg,
Barrel roll ,6,aperta,standard,barrelroll,boogie int,mostratutte-mostrabi
Cambio con apertura gambe ,6,variazione,standard,cambio_gambe,boogie int,mostratutte-mostrabi
Cambio con controsterzo ,6,aperta,standard,controsterzo,lindy int,mostratutte-mostrali
Cambio senza mani,6,aperta,standard,senza_mani,lindy beg,
Cambio tacco punta,6,aperta,standard,cambio_taccopunta,lindy int,mostratutte-mostrali
Cambio posto aperto basso,6,aperta,standard,,lindy int,mostratutte-mostrali
Chiusura bassa,6,aperta,standard,chiusura_bassa,lindy int,mostratutte-mostrali
Cambio skip up,6,aperta,standard,cambio_skipup,boogie int,mostratutte-mostrabi
Sugar push,6,aperta,doppia,sugar_push,lindy int,mostratutte-mostrali
Fonzie petto,6,aperta,standard,fonzie_petto,boogie beg,mostratutte-mostrabb
Fonzie schiena,6,aperta,standard,fonzie,boogie beg,mostratutte-mostrabb
Base,6,aperta,standard,base,boogie beg,mostratutte-mostrabb
Base gira lei ,6,aperta,standard,giro_lei,boogie beg,mostratutte-mostrabb
Base gira lui ,6,aperta,standard,giro_lui,boogie beg,mostratutte-mostrabb
Base doppio giro ,6,aperta,standard,giro_entrambi,boogie beg,mostratutte-mostrabb
Cambi a doppie mani e variazioni,6,aperta,doppia,,lindy beg,
Base tacco punta,6,aperta,standard,base_taccopunta,lindy int,mostratutte-mostrali
Chiuso tacco punta,6,chiusa,standard,chiuso_taccopunta,lindy int,mostratutte-mostrali
Base knee slap (coreo boogie C2) ,6,aperta,standard,knee_slap,boogie int,mostratutte-mostrabi
Swingout 6T(classe C) ,6,swingout,standard,,boogie int,mostratutte-mostrabi
Cambio flip flop,6,aperta,,,boogie int,mostratutte-mostrabi
Passo base kick al 6,6,variazione,standard,base_kick6,boogie adv,mostratutte-mostraba
Base a presa contraria,6,aperta,standard,cambio_contrario,boogie beg,mostratutte-mostrabb
Zampa gatto a 6,6,chiusa,chiusa,zampagatto6,workshop ,mostratutte-mostraw
Zampa gatto a 8,8,chiusa,chiusa,zampagatto8,workshop ,mostratutte-mostraw
Contrario base,6,aperta,contraria,contrario_base,boogie adv,mostratutte-mostraba
Contrario base 8,8,aperta,contraria,contrario_base8,boogie adv,mostratutte-mostraba
Contrario sciabolata,8,passo base,contraria,contrario_sciabolata,boogie adv,mostratutte-mostraba
Swingout ,8,swingout,standard,swingout,lindy int,mostratutte-mostrali
Swingout Savoy ,8,swingout,standard,swingout_savoy,lindy int,mostratutte-mostrali
Swingout inside turn ,8,swingout,standard,singout_insideturn,lindy int,mostratutte-mostrali
Swingout outside turn ,8,swingout,standard,swingout_outsideturn,lindy int,mostratutte-mostrali
Swingout outside turn finisher,8,swingout,standard,swingout_outsideturnfinish,lindy int,mostratutte-mostrali
Swingout double twist ,8,swingout,standard,swingout_doubletwist,lindy int,mostratutte-mostrali
Swingout con salto all'indietro ,8,swingout,standard,swingout_saltoindietro,lindy int,mostratutte-mostrali
Swingout con salto in avanti,8,swingout,standard,swingout_saltoavanti,lindy int,mostratutte-mostrali
Swingout tripli step (larosa) ,8,swingout,standard,,workshop ,mostratutte-mostrala
Swingout shorty George (larosa) ,8,swingout,standard,,workshop ,mostratutte-mostrala
Swingout salto piedi (larosa) ,8,swingout,standard,,workshop ,mostratutte-mostrala
Swingout lui/lei fermi,8,swingout,standard,swingout_fermo,lindy int,mostratutte-mostrali
